miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT001978	dme-miR-8-3p	Drosophila melanogaster	wls	39259	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	20216554
MIRT001897	dme-miR-12-5p	Drosophila melanogaster	rt	39297	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT002881	dme-miR-1-3p	Drosophila melanogaster	crim	39321	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT002849	dme-miR-4-3p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT002849	dme-miR-4-3p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT002852	dme-miR-7-5p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	15833912
MIRT002852	dme-miR-7-5p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001860	dme-miR-92b-3p	Drosophila melanogaster	CrebA	39682	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT001879	dme-miR-312-3p	Drosophila melanogaster	CrebA	39682	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT002003	dme-miR-315-5p	Drosophila melanogaster	Notum	39751	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17989227
MIRT002992	dme-miR-8-3p	Drosophila melanogaster	CG13060	39802	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17923093
MIRT002891	dme-miR-1-3p	Drosophila melanogaster	Nedd4	39958	Drosophila melanogaster	Microarray//Luciferase reporter assay//Western blot	Functional MTI	17592038
MIRT001875	dme-miR-34-5p	Drosophila melanogaster	Eip74EF	39962	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT004775	dme-miR-6-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005649	dme-miR-11-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay	Non-Functional MTI	15989958
MIRT005648	dme-miR-13b-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//qRT-PCR	Non-Functional MTI	15989958
MIRT005512	dme-miR-263a-5p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Immunocytochemistry//Luciferase reporter assay	Functional MTI	20563308
MIRT005515	dme-miR-263b-5p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Immunocytochemistry//Luciferase reporter assay	Functional MTI	20563308
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Northern blot	Functional MTI	12679032
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT005650	dme-miR-308-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay	Non-Functional MTI	15989958
MIRT005647	dme-miR-2c-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//qRT-PCR	Non-Functional MTI	15989958
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002859	dme-miR-2b-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT004085	dme-miR-6-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001899	dme-miR-11-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001899	dme-miR-11-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT004777	dme-miR-13a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001881	dme-miR-308-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay//Northern blot	Functional MTI	17507927
MIRT001868	dme-miR-6-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005651	dme-miR-11-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15989958
MIRT004776	dme-miR-13a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005652	dme-miR-308-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15989958
MIRT002864	dme-miR-2a-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002858	dme-miR-2b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT002858	dme-miR-2b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002857	dme-miR-6-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT002857	dme-miR-6-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001898	dme-miR-11-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001898	dme-miR-11-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001893	dme-miR-13b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002861	dme-miR-308-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001876	dme-miR-318-3p	Drosophila melanogaster	CG13380	40029	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
